243sentences.0,Original,beekeeping encourages the conservation of local habitats,12.283673036943167
243sentences.1,Original,it is in every beekeeper's interest to conserve local plants that produce pollen,25.649872642406457
243sentences.2,Original,as a passive form of agriculture it does not require that native vegetation be cleared to make way for crops,57.68860366709947
243sentences.3,Original,beekeepers also discourage the use of pesticides on crops because they could kill the honeybees,36.67810998711978
243sentences.4,Original,artisanal beekeepers go to extremes for their craft but their product is worth the effort,30.08750354657756
243sentences.5,Original,artisanal honey-making emphasizes quality and character over quantity and consistency,21.92517316098666
243sentences.6,Original,to produce the finest honey beekeepers become micromanagers of their honeybees,17.87711310136735
243sentences.7,Original,they scout the fields know when nectar flows and select the best ways to extract honey,39.66926113454372
243sentences.8,Original,as the beekeeper opens the hive the deep hum of 40000 bees fills the air,36.51440023432639
243sentences.9,Original,the beekeeper checks honey stores pollen supplies and the bee nursery,16.09928932471283
243sentences.10,Original,bees crawl across his bare arms and hands but they don't sting because they're gentle,38.0256688734076
243sentences.11,Original,i have a recurring dream about exams even though i'm no longer in college,38.35488310839517
243sentences.12,Original,in my dream it's the day of my final exam and i suddenly realize i've never gone to class,35.07116046864641
243sentences.13,Original,i've never even done any of the reading assignments,18.72004586280501
243sentences.14,Original,i know many other people who have the same nightmare,25.497953641902402
243sentences.15,Original,each morning participants in the study had to write down their dream experience from the previous night,42.61768885305556
243sentences.16,Original,they recorded if they recalled any dreams and described each dream and its emotional intensity,22.50750962182808
243sentences.17,Original,participants then assigned each dream to a category such as a flying dream a bad dream or a nightmare,44.10855146474158
243sentences.18,Original,every night while we sleep our minds are as active as when we are awake,39.50433272940076
243sentences.19,Original,we dream throughout the night in cycles of about ninety minutes each,28.716592001659695
243sentences.20,Original,images feelings stories and strange combinations of characters and places can fill our dreams,29.500556326625205
243sentences.21,Original,when i decided to start playing cards things went from bad to worse,29.249309484735186
243sentences.22,Original,gambling was something i had to do and i had already spent close to $10000 doing it,28.53499781873123
243sentences.23,Original,my friends were sick of watching me gamble my savings away,21.45823150268445
243sentences.24,Original,the hardest part was the horror of leaving a casino after losing money i did not have,45.70286545821281
243sentences.25,Original,good data on the social and economic effects of legalized gambling are hard to come by,47.25758161483729
243sentences.26,Original,some studies indicate that having a casino nearby makes gambling problems more likely,40.244569704836294
243sentences.27,Original,gambling may also be associated with personal bankruptcies and marriage problems,33.67582096082866
243sentences.28,Original,over the past generation there has been a dramatic expansion of legalized gambling,48.9754456773412
243sentences.29,Original,most states have instituted lotteries and many have casinos as well,31.924985880105503
243sentences.30,Original,gambling has become very big but controversial business,17.137447319001772
243sentences.31,Original,the wind from the hurricane shook the house shattering a window in the kitchen,27.46485857125044
243sentences.32,Original,we ran in grabbed some food slammed the door and surrendered the kitchen to the hurricane,26.92298559430757
243sentences.33,Original,i was afraid our house would be ripped from its foundation,28.714838168522384
243sentences.34,Original,later that night with the wind shaking the house we fell asleep huddled on the sofa,44.68714491178757
243sentences.35,Original,hurricanes can tear limbs off of trees and suck houses off their foundations,20.403650717746004
243sentences.36,Original,they dump heavy rains that can trigger floods and mudslides,30.304164318175367
243sentences.37,Original,hurricanes can also bring a storm surge a wall of ocean water that lurches onto land,47.59366455224675
243sentences.38,Original,scientists use several methods to look for evidence of ancient hurricanes,24.906581182470703
243sentences.39,Original,the strongest storms deposited layers of windblown beach sand at the bottoms of coastal lakes,51.5423790711796
243sentences.40,Original,trees drenched by passing hurricanes preserve a record of each storm in their growth rings,36.07284842351134
243sentences.41,Original,american ice cream is exported around the world but different countries have different preferences,40.19494760882423
243sentences.42,Original,many people enjoy their ice cream flavored with local delicacies,46.35832074185183
243sentences.43,Original,in some tropical places vanilla ice cream is topped with bananas and fresh mangos,53.98339645170256
243sentences.44,Original,i remember making ice cream at home as a child,30.746703098758722
243sentences.45,Original,we poured the cream mixture into a frozen tub then start turning the crank to expose it to the cold,39.48489534840991
243sentences.46,Original,eventually it froze enough that i couldn't turn the hand crank any more,17.356968577846324
