,sentence,sentence_num,stimulus_id,experiment,story,passage_index,passage_label,passage_category
0,Beekeeping encourages the conservation of local habitats.,0,243sentences.0,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping
1,It is in every beekeeper's interest to conserve local plants that produce pollen.,1,243sentences.1,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping
2,"As a passive form of agriculture, it does not require that native vegetation be cleared to make way for crops.",2,243sentences.2,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping
3,"Beekeepers also discourage the use of pesticides on crops, because they could kill the honeybees.",3,243sentences.3,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping
4,"Artisanal beekeepers go to extremes for their craft, but their product is worth the effort.",4,243sentences.4,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping
5,Artisanal honey-making emphasizes quality and character over quantity and consistency.,5,243sentences.5,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping
6,"To produce the finest honey, beekeepers become micromanagers of their honeybees.",6,243sentences.6,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping
7,"They scout the fields, know when nectar flows, and select the best ways to extract honey.",7,243sentences.7,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping
8,"As the beekeeper opens the hive, the deep hum of 40,000 bees fills the air.",8,243sentences.8,243sentences,243sentences.beekeeping,3,beekeeping,beekeeping
9,"The beekeeper checks honey stores, pollen supplies, and the bee nursery.",9,243sentences.9,243sentences,243sentences.beekeeping,3,beekeeping,beekeeping
10,"Bees crawl across his bare arms and hands, but they don't sting, because they're gentle.",10,243sentences.10,243sentences,243sentences.beekeeping,3,beekeeping,beekeeping
11,"I have a recurring dream about exams, even though I'm no longer in college.",11,243sentences.11,243sentences,243sentences.dreams,4,dreams,dreams
12,"In my dream, it's the day of my final exam and I suddenly realize I've never gone to class.",12,243sentences.12,243sentences,243sentences.dreams,4,dreams,dreams
13,I've never even done any of the reading assignments.,13,243sentences.13,243sentences,243sentences.dreams,4,dreams,dreams
14,I know many other people who have the same nightmare.,14,243sentences.14,243sentences,243sentences.dreams,4,dreams,dreams
15,"Each morning, participants in the study had to write down their dream experience from the previous night.",15,243sentences.15,243sentences,243sentences.dreams,5,dreams,dreams
16,"They recorded if they recalled any dreams, and described each dream and its emotional intensity.",16,243sentences.16,243sentences,243sentences.dreams,5,dreams,dreams
17,"Participants then assigned each dream to a category, such as a flying dream, a bad dream, or a nightmare.",17,243sentences.17,243sentences,243sentences.dreams,5,dreams,dreams
18,"Every night while we sleep, our minds are as active as when we are awake.",18,243sentences.18,243sentences,243sentences.dreams,6,dreams,dreams
19,"We dream throughout the night, in cycles of about ninety minutes each.",19,243sentences.19,243sentences,243sentences.dreams,6,dreams,dreams
20,"Images, feelings, stories, and strange combinations of characters and places can fill our dreams.",20,243sentences.20,243sentences,243sentences.dreams,6,dreams,dreams
21,"When I decided to start playing cards, things went from bad to worse.",21,243sentences.21,243sentences,243sentences.gambling,7,gambling,gambling
22,"Gambling was something I had to do, and I had already spent close to $10,000 doing it.",22,243sentences.22,243sentences,243sentences.gambling,7,gambling,gambling
23,My friends were sick of watching me gamble my savings away.,23,243sentences.23,243sentences,243sentences.gambling,7,gambling,gambling
24,The hardest part was the horror of leaving a casino after losing money I did not have.,24,243sentences.24,243sentences,243sentences.gambling,7,gambling,gambling
25,Good data on the social and economic effects of legalized gambling are hard to come by.,25,243sentences.25,243sentences,243sentences.gambling,8,gambling,gambling
26,Some studies indicate that having a casino nearby makes gambling problems more likely.,26,243sentences.26,243sentences,243sentences.gambling,8,gambling,gambling
27,Gambling may also be associated with personal bankruptcies and marriage problems.,27,243sentences.27,243sentences,243sentences.gambling,8,gambling,gambling
28,"Over the past generation, there has been a dramatic expansion of legalized gambling.",28,243sentences.28,243sentences,243sentences.gambling,9,gambling,gambling
29,"Most states have instituted lotteries, and many have casinos as well.",29,243sentences.29,243sentences,243sentences.gambling,9,gambling,gambling
30,Gambling has become very big but controversial business.,30,243sentences.30,243sentences,243sentences.gambling,9,gambling,gambling
31,"The wind from the hurricane shook the house, shattering a window in the kitchen.",31,243sentences.31,243sentences,243sentences.hurricane,10,hurricane,hurricane
32,"We ran in, grabbed some food, slammed the door, and surrendered the kitchen to the hurricane.",32,243sentences.32,243sentences,243sentences.hurricane,10,hurricane,hurricane
33,I was afraid our house would be ripped from its foundation.,33,243sentences.33,243sentences,243sentences.hurricane,10,hurricane,hurricane
34,"Later that night, with the wind shaking the house, we fell asleep huddled on the sofa.",34,243sentences.34,243sentences,243sentences.hurricane,10,hurricane,hurricane
35,Hurricanes can tear limbs off of trees and suck houses off their foundations.,35,243sentences.35,243sentences,243sentences.hurricane,11,hurricane,hurricane
36,They dump heavy rains that can trigger floods and mudslides.,36,243sentences.36,243sentences,243sentences.hurricane,11,hurricane,hurricane
37,Hurricanes can also bring a storm surge: a wall of ocean water that lurches onto land.,37,243sentences.37,243sentences,243sentences.hurricane,11,hurricane,hurricane
38,Scientists use several methods to look for evidence of ancient hurricanes.,38,243sentences.38,243sentences,243sentences.hurricane,12,hurricane,hurricane
39,The strongest storms deposited layers of windblown beach sand at the bottoms of coastal lakes.,39,243sentences.39,243sentences,243sentences.hurricane,12,hurricane,hurricane
40,Trees drenched by passing hurricanes preserve a record of each storm in their growth rings.,40,243sentences.40,243sentences,243sentences.hurricane,12,hurricane,hurricane
41,"American ice cream is exported around the world, but different countries have different preferences.",41,243sentences.41,243sentences,243sentences.ice_cream,13,ice_cream,ice_cream
42,Many people enjoy their ice cream flavored with local delicacies.,42,243sentences.42,243sentences,243sentences.ice_cream,13,ice_cream,ice_cream
