243sentences.0,Scr1,beekeeping encourages the conservation of habitats local.,19.18576705681571
243sentences.1,Scr1,it is in every beekeeper's interest to conserve local plants produce that pollen.,34.03580967530364
243sentences.2,Scr1,as a passive of form agriculture it does not require that native vegetation be cleared to make way for crops.,76.6933500493926
243sentences.3,Scr1,beekeepers also discourage the use of pesticides on crops because could they kill the honeybees.,49.58971799164271
243sentences.4,Scr1,artisanal beekeepers go to extremes for their craft but their is product worth the effort.,41.529206870746755
243sentences.5,Scr1,artisanal emphasizes honey-making quality and character over quantity and consistency.,21.42541395564203
243sentences.6,Scr1,to the produce finest honey beekeepers become micromanagers of their honeybees.,30.697453341414313
243sentences.7,Scr1,they scout the fields know when nectar flows and select best the ways to extract honey.,43.98545446059822
243sentences.8,Scr1,as the beekeeper opens the hive the deep hum of bees 40000 fills the air.,56.78555650659824
243sentences.9,Scr1,the checks beekeeper honey stores pollen supplies and the bee nursery.,27.689291077036692
243sentences.10,Scr1,bees crawl across his bare arms and hands but they sting don't because they're gentle.,58.982581368118986
243sentences.11,Scr1,i have a recurring dream about exams even though i'm longer no in college.,40.1680086352704
243sentences.12,Scr1,in my dream the it's day of my final exam and i suddenly realize i've never gone to class.,47.03156975259188
243sentences.13,Scr1,i've even never done any of the reading assignments.,19.41553154798063
243sentences.14,Scr1,i many know other people who have the same nightmare.,28.53432477568614
243sentences.15,Scr1,each morning participants the in study had to write down their dream experience from the previous night.,55.35784388633925
243sentences.16,Scr1,they recorded if they recalled any dreams and described each and dream its emotional intensity.,24.912906518972342
243sentences.17,Scr1,participants then assigned dream each to a category such as a flying dream a bad dream or a nightmare.,76.97943421372425
243sentences.18,Scr1,every night while we sleep our minds are as active when as we are awake.,50.93832471447419
243sentences.19,Scr1,we dream throughout the night in cycles of about ninety each minutes.,27.968438476762014
243sentences.20,Scr1,images feelings stories and strange combinations of characters and places fill can our dreams.,37.331461729391485
243sentences.21,Scr1,when i decided to start playing cards things went from to bad worse.,33.89152521985307
243sentences.22,Scr1,gambling was something had i to do and i had already spent close to $10000 doing it.,43.91758324239783
243sentences.23,Scr1,my were friends sick of watching me gamble my savings away.,26.79836065392997
243sentences.24,Scr1,the hardest part the was horror of leaving a casino after losing money i did not have.,52.92569791211328
243sentences.25,Scr1,good data on the social and economic effects of legalized are gambling hard to come by.,54.657692467601464
243sentences.26,Scr1,some studies indicate that having a casino nearby makes gambling more problems likely.,47.410778483955646
243sentences.27,Scr1,gambling also may be associated with personal bankruptcies and marriage problems.,41.33162018351591
243sentences.28,Scr1,over the past generation there has been a dramatic expansion legalized of gambling.,49.72611304797066
243sentences.29,Scr1,most have states instituted lotteries and many have casinos as well.,42.967471394945086
243sentences.30,Scr1,gambling has become very big controversial but business.,24.094707214014353
