243sentences.0,Scr3,beekeeping conservation encourages the of habitats local.,15.711224850157253
243sentences.1,Scr3,in it is every beekeeper's interest to conserve local plants produce that pollen.,31.37949448398607
243sentences.2,Scr3,a as passive of form agriculture it does require not that native vegetation be cleared to make way for crops.,76.34814649030378
243sentences.3,Scr3,discourage beekeepers also the use of pesticides on crops because could they kill the honeybees.,47.91740181043484
243sentences.4,Scr3,go artisanal beekeepers to extremes for their craft but their is product worth the effort.,36.874171385490946
243sentences.5,Scr3,emphasizes artisanal honey-making quality character and over quantity and consistency.,24.733513861990424
243sentences.6,Scr3,the to produce finest beekeepers honey become micromanagers of their honeybees.,21.41763911372763
243sentences.7,Scr3,the they scout fields know when nectar flows and select best the ways to extract honey.,41.632898644215025
243sentences.8,Scr3,beekeeper as the opens the hive the deep hum of bees 40000 fills the air.,46.91649405911369
243sentences.9,Scr3,checks the beekeeper honey pollen stores supplies and the bee nursery.,29.13125754959217
243sentences.10,Scr3,across bees crawl his bare arms and hands but they sting don't because they're gentle.,57.362652205919694
243sentences.11,Scr3,a i have recurring dream about exams even though i'm longer no in college.,33.12626928568201
243sentences.12,Scr3,my in dream the it's day of my exam final and i suddenly realize i've never gone to class.,48.52755285655273
243sentences.13,Scr3,even i've never done of any the reading assignments.,15.911880412205734
243sentences.14,Scr3,many i know other who people have the same nightmare.,27.30361116199624
243sentences.15,Scr3,morning each participants the in study had to down write their dream experience from the previous night.,52.54361428049377
243sentences.16,Scr3,if they recorded they recalled any dreams and described each and dream its emotional intensity.,19.971399302817098
243sentences.17,Scr3,then participants assigned dream each to a category as such a flying dream a bad dream or a nightmare.,75.93889016035915
243sentences.18,Scr3,while every night we sleep our minds are as active when as we are awake.,47.025550267877065
243sentences.19,Scr3,throughout we dream the night in cycles of about ninety each minutes.,24.750609119272138
243sentences.20,Scr3,stories images feelings and strange combinations of characters and places fill can our dreams.,36.49493646447063
243sentences.21,Scr3,decided when i to start playing cards things went from to bad worse.,29.4815259943845
243sentences.22,Scr3,was gambling something had i to do and had i already spent close to $10000 doing it.,38.73402055382076
243sentences.23,Scr3,were my friends sick watching of me gamble my savings away.,24.851875474537746
243sentences.24,Scr3,hardest the part the was horror of leaving casino a after losing money i did not have.,50.07993547088035
243sentences.25,Scr3,on good data the social and economic effects of legalized are gambling hard to come by.,51.58205858992474
243sentences.26,Scr3,indicate some studies that having a casino nearby makes gambling more problems likely.,43.71064318975179
243sentences.27,Scr3,also gambling may be with associated personal bankruptcies and marriage problems.,37.24216722616691
243sentences.28,Scr3,past over the generation there has been a dramatic expansion legalized of gambling.,44.90681357496048
