score,error,condition,category,stimulus,labelname
1.1071986381813586,0.14183952843154385,Original,original,beekeeping encourages the conservation of local habitats.,Original: beekeeping encourages the conservation of local habitats.
1.0500207547414193,0.08320086649705,1LocalWordSwap,word-order,beekeeping encourages the conservation of habitats local.,1LocalWordSwap: beekeeping encourages the conservation of habitats local.
1.0458200993652849,0.15793669628655174,3LocalWordSwaps,word-order,beekeeping conservation encourages the of habitats local.,3LocalWordSwaps: beekeeping conservation encourages the of habitats local.
1.0826101291623886,0.03019699431539098,5LocalWordSwaps,word-order,conservation beekeeping encourages the habitats of local.,5LocalWordSwaps: conservation beekeeping encourages the habitats of local.
1.0936335730573081,0.16529025104542552,7LocalWordSwaps,word-order,beekeeping conservation of encourages habitats local the.,7LocalWordSwaps: beekeeping conservation of encourages habitats local the.
1.0413352604359465,0.07709657817624557,ReverseOrder,word-order,habitats local of conservation the encourages beekeeping.,ReverseOrder: habitats local of conservation the encourages beekeeping.
1.071990247308682,0.12513462097756067,LowPMI,word-order,beekeeping conservation habitats the of encourages local.,LowPMI: beekeeping conservation habitats the of encourages local.
1.098133093304525,0.1478808359830475,LowPMIRand,word-order,encourages the beekeeping of habitats conservation local.,LowPMIRand: encourages the beekeeping of habitats conservation local.
1.0693196555157507,0.1892131465430882,KeepContentW,information-loss,beekeeping encourages conservation local habitats.,KeepContentW: beekeeping encourages conservation local habitats.
1.0748203058931962,0.14907814839099295,KeepNVAdj,information-loss,beekeeping encourages conservation local habitats.,KeepNVAdj: beekeeping encourages conservation local habitats.
1.0491791590155646,0.08132876339543711,KeepNV,information-loss,beekeeping encourages conservation habitats.,KeepNV: beekeeping encourages conservation habitats.
0.9905273756341555,0.1891915766617336,KeepN,information-loss,conservation habitats.,KeepN: conservation habitats.
0.5327259241045595,0.11130681480680545,KeepFunctionW,information-loss,the of.,KeepFunctionW: the of.
1.0131141286032725,0.11171768522329321,RandSentFromPassage,semantic-distance,it is in every beekeeper's interest to conserve local plants that produce pollen.,RandSentFromPassage: it is in every beekeeper's interest to conserve local plants that produce pollen.
0.839733888983507,0.1371620688576358,RandSentFromTopic,semantic-distance,artisanal honey-making emphasizes quality and character over quantity and consistency.,RandSentFromTopic: artisanal honey-making emphasizes quality and character over quantity and consistency.
0.7822338444193219,0.1015129616344249,RandSent,semantic-distance,and for society hip fractures involve substantial expense and time in the hospital.,RandSent: and for society hip fractures involve substantial expense and time in the hospital.
0.9252662969682197,0.15897064755444065,RandWordList,control,three climb around the the spears vapor.,RandWordList: three climb around the the spears vapor.
