condition,ttest2original,adjusted_pvals2original,cohensd2original,ttest2random,adjusted_pvals2random,cohensd2random
1LocalWordSwap,0.6112534593733849,0.5486742781870071,0.2733608573281582,-15.152363100494798,7.618419370215446e-11,-6.7763427824931695
3LocalWordSwaps,1.57166597885311,0.15568010395713724,0.7028703933278602,-12.860021509450881,3.833826510059211e-10,-5.751176457448325
5LocalWordSwaps,1.8307954154371255,0.11723324903020475,0.8187566003624754,-13.28357477940078,3.383443128860744e-10,-5.940595238188384
7LocalWordSwaps,2.3725430606357873,0.05077429474245571,1.0610335126254045,-12.312173025516254,4.667478573221263e-10,-5.50617116715872
ReverseOrder,4.242572572001714,0.0034276825502966048,1.8973361340943906,-8.607437376685057,8.5111692922525e-08,-3.8493630172680486
LowPMI,2.519662864294326,0.049965082740149235,1.1268274889887866,-12.338525917948093,4.667478573221263e-10,-5.517956538934987
LowPMIRand,3.8776733611687018,0.0038603271308874877,1.7341482460226605,-11.694001144428949,8.913356218137768e-10,-5.229716297580693
KeepContentW,1.608429356118825,0.12513952218742355,0.7193114754575812,-14.834263254963302,7.760836115699537e-11,-6.634084206845047
KeepNVAdj,1.6632119227270248,0.12513952218742355,0.7438109840411491,-14.129819446510643,8.684413165888748e-11,-6.319047358439252
KeepNV,2.6475567136713463,0.02728866028385837,1.1840233572110137,-13.7915143218332,8.684413165888748e-11,-6.16775270725619
KeepN,3.4179115460943623,0.007668384629981251,1.5285365116296796,-10.58118951326445,4.647779190211328e-09,-4.732051806893445
KeepFunctionW,16.529811339690877,1.2558665465325763e-11,7.392356362159132,-1.9830699296360899,0.06283054617636845,-0.8868558333604042
RandSentFromPassage,-0.2906882486098745,0.7746124738173777,-0.1299997368304083,-11.561531321526447,2.749975940009376e-09,-5.170473991785222
RandSentFromTopic,11.580498322221091,1.3394558657121708e-09,5.1789562923617245,-4.414225491754511,0.0005021483530550737,-1.9741016535151046
RandSent,20.724710839730157,1.5617129024122835e-13,9.268372450332677,0.41848695734187663,0.6805418342133908,0.18715305686269826
RandWordList,16.49563742746946,2.6013557198101966e-12,7.377073324002295,0.0,1.0,0.0
