condition,ttest2original,adjusted_pvals2original,cohensd2original,ttest2random,adjusted_pvals2random,cohensd2random
1LocalWordSwap,1.278296872175482,0.2173829215849938,0.5716717403219489,-18.53264868504048,4.169681398154602e-13,-8.28805245257452
3LocalWordSwaps,3.4150870680502297,0.003601045504023767,1.5272733666481562,-21.21258728896488,9.795906229634644e-14,-9.486557431354687
5LocalWordSwaps,3.6444567347233305,0.003245155957088601,1.6298505999796586,-20.845106306889672,9.795906229634644e-14,-9.322214940082981
7LocalWordSwaps,3.6683936245563458,0.003245155957088601,1.640555502546966,-20.63797632003568,9.795906229634644e-14,-9.229583593926149
ReverseOrder,5.329609752410169,0.0003202245272127558,2.3834739399869957,-18.02327513695981,5.760193073017117e-13,-8.060253676684793
LowPMI,3.487580039769927,0.003601045504023767,1.5596932091793971,-22.346266699971537,9.795906229634644e-14,-9.993554276895253
LowPMIRand,4.568392858983453,0.0008338802736231045,2.043047396122324,-19.09977289404174,2.98186256788837e-13,-8.541678109177045
KeepContentW,4.148265199247299,0.0006037984243446377,1.8551605948427372,-15.967729284945905,1.8128972527759097e-11,-7.140985625490629
KeepNVAdj,4.420397144360518,0.00041278637888832073,1.9768617004672138,-14.795806911838161,2.7015779042837177e-11,-6.616886007366276
KeepNV,6.029841663174065,1.7670707515247722e-05,2.6966271704835214,-15.523386544415745,1.8128972527759097e-11,-6.942269510863833
KeepN,10.827683073914653,6.478798587906102e-09,4.842287078419409,-12.840676401092184,2.1049150059612645e-10,-5.742525061983896
KeepFunctionW,22.061533956386317,8.798253854026134e-14,9.866217922879938,-2.5093632374151102,0.021877805086309154,-1.1222213558198262
RandSentFromPassage,4.767390747253717,0.0001539831309050254,2.1320419572325684,-20.094553512586433,2.6636638395516963e-13,-8.986557526330088
RandSentFromTopic,15.789640941579673,8.170033912233002e-12,7.061342097137185,-4.4144369186273895,0.000501913681821407,-1.97419620648711
RandSent,24.150007680635156,1.0900890482051072e-14,10.80021176620845,0.845633669047278,0.4088581204622297,0.3781788736104547
RandWordList,21.551496315951862,2.64202883706845e-14,9.63812215586093,0.0,1.0,0.0
