manipulation_category,manipulation,best_layer
perturb,contentwords,encoder.h.11
perturb,functionwords,encoder.h.11
perturb,nouns,encoder.h.11
perturb,nounsverbs,encoder.h.11
perturb,nounsverbsadj,encoder.h.11
perturb,random-nouns,encoder.h.11
perturb,random-nouns-controlled,encoder.h.1
perturb,sentenceshuffle_passage,encoder.h.11
perturb,sentenceshuffle_random,encoder.h.11
perturb,sentenceshuffle_random-topic-criteria,encoder.h.11
perturb,sentenceshuffle_random-topic-length-criteria,encoder.h.11
perturb,sentenceshuffle_topic,encoder.h.11
perturb,original,encoder.h.10
scrambled,backward,encoder.h.11
scrambled,lowpmi,encoder.h.11
scrambled,lowpmi-random,encoder.h.11
scrambled,original,encoder.h.10
scrambled,random-wl,encoder.h.11
scrambled,random-wl-samepos,encoder.h.11
scrambled,scrambled1,encoder.h.11
scrambled,scrambled3,encoder.h.11
scrambled,scrambled5,encoder.h.11
scrambled,scrambled7,encoder.h.11
control,original,encoder.h.10
