condition,ttest2original,ttest2random,adjusted_pvals2original,adjusted_pvals2random,cohensd2original,cohensd2random,significance2original,significance2random,pvals2original,pvals2random
1LocalWordSwap,0.815899089605874,-2.0021218206244678,0.7966168315447317,0.07822371009903739,0.36488116542778676,-0.8953760980303912,n.s.,n.s.,0.4252237127876557,0.06057378192189434
3LocalWordSwaps,0.8280096717400159,-2.0467415349107116,0.7966168315447317,0.07822371009903739,0.37029718240759246,-0.9153306408865246,n.s.,n.s.,0.4185085876265231,0.0555710999824683
5LocalWordSwaps,0.6188325930296371,-2.5390543445712437,0.7966168315447317,0.07197666848464408,0.27675034894134626,-1.1354996226054979,n.s.,n.s.,0.5437796095218148,0.02056476242418402
7LocalWordSwaps,0.27690091811604745,-2.325858716138475,0.8728508295390626,0.0744573824116148,0.12383385518791841,-1.0401556390692046,n.s.,n.s.,0.7850109299772217,0.03191030674783491
ReverseOrder,1.4033237796082236,-1.3910959171786064,0.7966168315447317,0.18115381655738613,0.6275854731291843,-0.6221170068067586,n.s.,n.s.,0.1775360394676691,0.18115381655738613
LowPMI,0.16233458883760166,-2.7692884602227794,0.8728508295390626,0.07197666848464408,0.07259823514807286,-1.2384634492727729,n.s.,n.s.,0.8728508295390626,0.012640814642908381
LowPMIRand,0.5801400581948952,-1.949045922443428,0.7966168315447317,0.07822371009903739,0.25944652131889523,-0.8716398347704587,n.s.,n.s.,0.5690120225319513,0.06704889437060348
Nouns,1.7001080456186513,-0.9483267581029937,0.2126487627510093,0.3555223535555575,0.7603114318195249,-0.4241046192000599,n.s.,n.s.,0.10632438137550465,0.3555223535555575
NounsVerbs,0.8353859596471768,-1.8789079284901902,0.49734230419473446,0.11482477352329407,0.3735959586439981,-0.8402731703134771,n.s.,n.s.,0.4144519201622787,0.07654984901552937
NounsVerbsAdj,0.8605403583636775,-2.0245353773588435,0.49734230419473446,0.11482477352329407,0.3848453477366424,-0.9053997453255149,n.s.,n.s.,0.40080868059458274,0.05801225886126542
NounsVerbsAdjAdv,0.5382337606201808,-2.1117877834113488,0.5970091105814118,0.11482477352329407,0.24070545530641613,-0.944420207552277,n.s.,n.s.,0.5970091105814118,0.04894573643018946
FunctionWords,10.82503674014393,6.495930465831284,1.560898677353625e-08,2.4887861278553892e-05,4.841103601978912,2.905068419742124,***,***,2.601497795589375e-09,4.147976879758982e-06
RandNouns,3.5691035628443037,1.0640423141041666,0.006578435099504073,0.3555223535555575,1.5961516370513122,0.47585418905461896,**,n.s.,0.002192811699834691,0.30137617702198044
RandSentFromPassage,2.0740930475134687,-1.076610370771807,0.052692050895975236,0.31595987201360487,0.927562609179965,-0.4814747948654039,n.s.,n.s.,0.052692050895975236,0.2958729941064546
RandSentFromTopic,4.525903681273693,1.0315175226920317,0.00039243465007407323,0.31595987201360487,2.024045658188906,0.46130866014431166,***,n.s.,0.00026162310004938214,0.31595987201360487
RandSent,5.559864449169816,2.1499510714687977,8.430216686045274e-05,0.13620395827986354,2.486446970805629,0.961487348820548,***,n.s.,2.8100722286817577e-05,0.04540131942662118
