score,error,condition,category,stimulus,labelname
0.3080356195057686,0.1590890143591393,Original,original,beekeeping encourages the conservation of local habitats.,Original: beekeeping encourages the conservation of local habitats.
0.28568655446735736,0.1813218768878702,1LocalWordSwap,word-order,beekeeping encourages the conservation of habitats local.,1LocalWordSwap: beekeeping encourages the conservation of habitats local.
0.2873019838621839,0.19072327085238006,3LocalWordSwaps,word-order,beekeeping conservation encourages the of habitats local.,3LocalWordSwaps: beekeeping conservation encourages the of habitats local.
0.2907816264599546,0.17308962170549289,5LocalWordSwaps,word-order,conservation beekeeping encourages the habitats of local.,5LocalWordSwaps: conservation beekeeping encourages the habitats of local.
0.26194430531237917,0.19950722665252432,7LocalWordSwaps,word-order,beekeeping conservation of encourages habitats local the.,7LocalWordSwaps: beekeeping conservation of encourages habitats local the.
0.23367733184530656,0.13398402083405547,ReverseOrder,word-order,habitats local of conservation the encourages beekeeping.,ReverseOrder: habitats local of conservation the encourages beekeeping.
0.29684946428063347,0.17899952158691246,LowPMI,word-order,beekeeping conservation habitats the of encourages local.,LowPMI: beekeeping conservation habitats the of encourages local.
0.25512658865998505,0.10789764973763459,LowPMIRand,word-order,encourages the beekeeping of habitats conservation local.,LowPMIRand: encourages the beekeeping of habitats conservation local.
0.3214568873936293,0.2291277211675466,KeepContentW,information-loss,beekeeping encourages conservation local habitats.,KeepContentW: beekeeping encourages conservation local habitats.
0.2919434329531313,0.11385749168861353,KeepNVAdj,information-loss,beekeeping encourages conservation local habitats.,KeepNVAdj: beekeeping encourages conservation local habitats.
0.26243708578143776,0.11118055661193073,KeepNV,information-loss,beekeeping encourages conservation habitats.,KeepNV: beekeeping encourages conservation habitats.
0.22737280568510593,0.21791640110960012,KeepN,information-loss,conservation habitats.,KeepN: conservation habitats.
0.0954012887164219,0.06548419372049043,KeepFunctionW,information-loss,the of.,KeepFunctionW: the of.
0.16846606767606284,0.10743609054429569,RandSentFromPassage,semantic-distance,it is in every beekeeper's interest to conserve local plants that produce pollen.,RandSentFromPassage: it is in every beekeeper's interest to conserve local plants that produce pollen.
0.20619876705335927,0.15976698932515077,RandSentFromTopic,semantic-distance,artisanal honey-making emphasizes quality and character over quantity and consistency.,RandSentFromTopic: artisanal honey-making emphasizes quality and character over quantity and consistency.
0.12348877413263841,0.07656847015450784,RandSent,semantic-distance,and for society hip fractures involve substantial expense and time in the hospital.,RandSent: and for society hip fractures involve substantial expense and time in the hospital.
0.16776590053201304,0.07141563774083552,RandWordList,control,three climb around the the spears vapor.,RandWordList: three climb around the the spears vapor.
