,exp_condition1,exp_condition2,ttest,adjusted_pval,significance,pvals,manipulation
0,TrainIntact-TestPerturbed:contextualized,TrainIntact-TestPerturbed:contextualized,0.0,1.0,n.s.,1.0,information-loss
1,TrainIntact-TestPerturbed:contextualized,TrainIntact-TestPerturbed:decontextualized,2.422,0.028,*,0.017280572375112865,information-loss
2,TrainIntact-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:contextualized,-5.126,0.0,***,1.4860845157409758e-06,information-loss
3,TrainIntact-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:decontextualized,2.826,0.011,*,0.005714872869815369,information-loss
4,TrainIntact-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:contextualized,-2.422,0.028,*,0.017280572375112865,information-loss
5,TrainIntact-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:decontextualized,0.0,1.0,n.s.,1.0,information-loss
6,TrainIntact-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:contextualized,-8.208,0.0,***,9.092620952568173e-13,information-loss
7,TrainIntact-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:decontextualized,0.572,0.758,n.s.,0.5684024151943889,information-loss
8,TrainPerturbed-TestPerturbed:contextualized,TrainIntact-TestPerturbed:contextualized,5.126,0.0,***,1.4860845157409758e-06,information-loss
9,TrainPerturbed-TestPerturbed:contextualized,TrainIntact-TestPerturbed:decontextualized,8.208,0.0,***,9.092620952568173e-13,information-loss
10,TrainPerturbed-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:contextualized,0.0,1.0,n.s.,1.0,information-loss
11,TrainPerturbed-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:decontextualized,8.31,0.0,***,5.498458038013512e-13,information-loss
12,TrainPerturbed-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:contextualized,-2.826,0.011,*,0.005714872869815369,information-loss
13,TrainPerturbed-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:decontextualized,-0.572,0.758,n.s.,0.5684024151943889,information-loss
14,TrainPerturbed-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:contextualized,-8.31,0.0,***,5.498458038013512e-13,information-loss
15,TrainPerturbed-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:decontextualized,0.0,1.0,n.s.,1.0,information-loss
