random_withreplacement
/rdma/vast-rdma/vast/cpl/ckauf/perturbed-neural-nlp/analysis/pmi_verification/stimuli_csvs/stimuli_random_withreplacement.csv
****************************** 
 LOADING STIMULI! 
 ******************************
****************************** 
 CALCULATING LAG 0 PPMIS! 
 ******************************
three climb
climb around
around the
the the
the spears
spears vapor
bed are
are piece
piece insects
insects generally
generally the
the specialized
specialized a
a bears
bears maintenance
maintenance for
for a
a take
frying no
no a
a cost
cost an
an consists
consists a
a mudslides
mudslides house
house plant
plant the
the will
will in
in engines
engines and
and use
use dreams
dreams hammer
hammer to
to have
stir-fried race
race risk
risk a
a losing
losing latex
latex world
world if
if storage
storage pan
pan is
is with
with extra
extra horror
horror fly
of and
and down
down people
people sharks
sharks found
found the
the used
used a
a a
a and
and and
and jacket
jacket economic
economic a
a revolving
revolving hospital
hospital my
my the
the of
of tumbling
tumbling beekeepers
beekeepers that
that colder
good is
is reasons
reasons is
is a
a pure
pure turn
turn breathing
breathing places
places or
or vultures
airbeds and
and a
a traffic
traffic one
one kick
kick each
each hive
hive a
a my
my less
less to
to have
have gets
gets and
and other
comfort in
in the
the divide
divide can
can the
the so
so awake
awake each
each wall
wall snow
snow wall
wall castle
castle with
with decided
and your
your connected
connected it
it straight
straight of
of cream
cream of
of sick
sick are
are from
the that
that western
western there
there a
a expansion
expansion with
with a
a is
is passengers
passengers them
them at
at horns
horns a
a dealt
in hot
hot because
because vivid
vivid sit
sit sleep
sleep fascinated
fascinated fairly
fairly they
they have
have losing
losing offer
offer execute
execute tropical
man trains
trains locomotive
locomotive an
an and
and vehicle-related
vehicle-related a
a use
use a
a used
used disperse
disperse made
made cable
cable or
or head
head type
type and
and log
log and
professional shelters
shelters insect
insect barrel
barrel heat
heat more
more a
a open
open which
popular tons
tons patients
patients admission
admission most
most long
long type
type the
the class
class an
chew fish
fish in
in as
as the
the when
when looming
looming a
a in
in cutting
cutting after
after the
the in
in cooked
cooked lives
lives costumes
costumes did
river mild
mild on
on more
more fabric
fabric train
train raised
raised tropical
tropical collect
collect an
an the
the cold
cold conferences
conferences machines
machines fairly
controversial diverse
diverse to
to compartment
compartment newborn
newborn girls
girls horse
horse a
a and
and jacket
jacket or
or fed
fed cartilage
cartilage to
to streamlined
streamlined jackets
jackets are
are contains
contains feet
pierce and
and to
to full
full i
i to
to or
or of
of to
to sound
sound can
can national
national an
an the
the elements
above beneficial
beneficial that
that soar
soar inside
inside and
and has
has a
a and
and they
they called
called but
firemen and
and just
just to
to high
high are
are some
some by
by on
on fever
fever cooked
cooked and
and pedals
pedals in
stalk smoothies
smoothies law
law plain
plain finger
finger others
others suggest
suggest still
still platform
platform salted
salted beekeeper
beekeeper upper
upper hospitals
to incorporates
incorporates log
log pool
pool typical
typical fines
fines of
of given
given window
window scary
scary land
land artisanal
artisanal used
used house
house of
of a
a can
they i
i and
and eating
eating in
in composition
composition the
the inland
inland by
by with
with feet
smell die
die a
a eye
eye taste
taste be
be record
record the
the usually
usually theft
theft times
times dramatic
dramatic horse
horse trains
trains the
the carnivores
carnivores cheese
a are
are instrument
instrument the
the artists
artists chose
chose cardigan
cardigan backgrounds
backgrounds and
and me
me grows
grows around
